Senadores,Partido,Género,Información ,Fecha Nac. (DD-MM-AAAA)
GUSTAVO BOLIVAR MORENO,PACTO HISTORICO,M,"Nacido en Girardot, carrera universitaria incompleta como comunicador social en la universidad de la Sabana. Autor de la novela Sin tetas no hay paraiso, el capo, pandillas guerra y paz, Tres caínes, entre otras.",22/07/1966
ALEXANDER LOPEZ MAYA,PACTO HISTORICO,M,"Nacido en Cali, abogado de la Universidad San Buenaventura con especialización en políticas publicas y administración de empresas sociales. Estuvo en la Cámara de representantes entre los años 2002 - 2006, Senador entre los años 2006 - 2010,  2010 - 2014 y actualmente senador 2022 - 2026.",26/06/1967
AIDA YOLANDA AVELLA ESQUIVEL,PACTO HISTORICO,F,"Nacida en Sogamoso, Psicóloga de la universidad nacional. Constituyente de la asamblea nacional de 199, concejal de Bogotá (1992 - 1996) y candidata a la Vicepresidencia en las elecciones de 2014. Senadora de colombia desde 2018.",23/01/1943
ROY LEONARDO BARRERAS MONTEALEGRE,PACTO HISTORICO,M,"Nacido en Bogotá, Médico, Sociólogo y filósofo con especialización de derecho internacional de los derechos humanos y maestrís en literatura Española e Hispanoamericana. Representante a la camara en 2006, senador desde 2010 donde asumió desde 2011 la presidencia de la comisión de Paz del Senado y elegido como presidente del Congreso en 2012.",27/11/1963
MARTHA ISABEL PERALTA EPIEYU,PACTO HISTORICO,F,"Nacida en Monguí, La Guajira, perteneciente al clan Epinaypu Epieypu. Abogada especialista en derecho ambiental y líder indigena del pueblo wayú. En 2015 se vinculó al movimiento MAIS como asesora jurídica y en 2017 fue nombrada directora nacional de su movimiento.",1/01/1989
IVAN CEPEDA CASTRO,PACTO HISTORICO,M,"Nacido en Bogotá, Filósofo con maestría en derecho internacional humanitario. Desde 2009 inicia su carrera politica por el Polo Democrático. LLegó a la cámara con la cuarta votación mas alta en la ciudad.",24/10/1962
PIEDAD ESNEDA CORDOBA RUIZ,PACTO HISTORICO,F,"Nacida en Medellin, Abogada UPB, Especialista en Derecho Laboral y Desarrollo Organizacional, Especialista en Opinión Pública y Mercadeo, Es elegida senadora 1994-1998, reelegida en 1998, Hizo parte de la comisión séptima del Senado ",25/01/1955
PEDRO HERNANDO FLOREZ PORRAS,PACTO HISTORICO,M,"Nacido en Sincelejo, Químico farmaceutico especialista en Marketing y magister en Desarrollo y gestión de empresas sociales. Sin trayectoria politica, sin embargo es el esposo de Karina Llanos que ha ocupado dos veces el puesto de diputada por el departamento del Atlántico (2016-2019, 2020-2023) por el partido de la U.",1/01/1975
ISABEL CRISTINA ZULETA LOPEZ,PACTO HISTORICO,F,"Nacida en Ituango antioquia, Cursó estudios de sociología e historia UdeA, 2021 recibió el aval del partido Colombia Humana",12/04/1982
ALEX XAVIER FLOREZ HERNANDEZ,PACTO HISTORICO,M,"Nacido en cartajena, Pacifista y Co-fundador Jóvenes por el Sí, Ex Representante de los Estudiantes de Colombia en el CESU, Exconcejal de Medellín, Senador electo por el Pacto Histórico 2022-2026 ",19/05/1991
